transaction_id,region,store_id,latitude,longitude,date,transaction_time,shift,day_of_week,season,sales,product_category,product_sku,quantity,promotion,weather,store_size,staff_count,customer_type,payment_method
T-24,Oeste,S-47,20.310522,-103.444305,12/7/2024,15:44:00,tarde,saturday,invierno,35.17,Tes,Te Verde,4,No,lluvioso,pequeña,6,Recurrente,Tarjeta
T-25,Oeste,S-47,20.310522,-103.444305,6/3/2024,12:19:00,tarde,monday,verano,41.11,Cafes,Espresso,5,No,soleado,pequeña,6,Recurrente,Tarjeta
T-26,Oeste,S-47,20.310522,-103.444305,4/19/2024,17:10:00,tarde,friday,primavera,65.92,Cafes,Americano,5,No,soleado,pequeña,6,Recurrente,Tarjeta
T-27,Norte,S-13,25.897395,-100.634332,1/24/2024,9:39:00,maÃ±ana,wednesday,invierno,59.82,Cafes,Americano,5,No,frio,mediana,8,Nuevo,Efectivo
T-28,Oeste,S-42,20.57922,-103.574143,2/24/2024,13:11:00,tarde,saturday,invierno,13.01,Cafes,Latte,1,No,lluvioso,pequeña,5,Nuevo,Digital
T-29,Oeste,S-42,20.57922,-103.574143,9/15/2024,16:28:00,tarde,sunday,otoÃ±o,54.83,Reposteria,Croissant,4,No,soleado,pequeña,5,Nuevo,Digital
T-30,Sur,S-18,18.031133,-92.683976,5/26/2024,8:20:00,maÃ±ana,sunday,primavera,48.26,Cafes,Latte,4,No,soleado,mediana,8,Nuevo,Tarjeta
T-31,Sur,S-18,18.031133,-92.683976,6/18/2024,15:03:00,tarde,tuesday,verano,43.36,Cafes,Espresso,4,No,soleado,mediana,8,Nuevo,Tarjeta
T-32,Norte,S-1,25.375665,-100.12286,7/18/2024,21:34:00,noche,thursday,verano,86.62,Reposteria,Donut,5,No,soleado,grande,14,Recurrente,Tarjeta
T-33,Norte,S-1,25.375665,-100.12286,1/15/2024,11:43:00,maÃ±ana,monday,invierno,36.02,Reposteria,Croissant,2,No,lluvioso,grande,14,Recurrente,Tarjeta
T-34,Norte,S-1,25.375665,-100.12286,12/5/2024,11:27:00,maÃ±ana,thursday,invierno,14.91,Snacks Salados,Chips,1,No,frio,grande,14,Recurrente,Tarjeta
T-35,Sur,S-18,18.031133,-92.683976,2/11/2024,17:34:00,tarde,sunday,invierno,43.44,Snacks Salados,Pretzels,2,No,frio,mediana,8,Recurrente,Tarjeta
T-36,Norte,S-2,25.482513,-100.60447,5/2/2024,11:07:00,maÃ±ana,thursday,primavera,33.22,Cafes,Espresso,3,No,soleado,grande,15,Nuevo,Digital
T-37,Norte,S-2,25.482513,-100.60447,2/25/2024,14:36:00,tarde,sunday,invierno,35.72,Cafes,Americano,3,Si,lluvioso,grande,15,Nuevo,Digital
T-38,Norte,S-2,25.482513,-100.60447,6/3/2024,18:50:00,noche,monday,verano,59.77,Snacks Salados,Chips,3,No,soleado,grande,15,Nuevo,Digital
T-39,Norte,S-1,25.375665,-100.12286,2/24/2024,14:40:00,tarde,saturday,invierno,48.96,Reposteria,Croissant,2,No,lluvioso,grande,14,Recurrente,Tarjeta
T-40,Norte,S-1,25.375665,-100.12286,9/4/2024,17:37:00,tarde,wednesday,otoÃ±o,9.51,Cafes,Latte,1,No,lluvioso,grande,14,Recurrente,Tarjeta
T-41,Norte,S-1,25.375665,-100.12286,12/8/2024,6:31:00,maÃ±ana,sunday,invierno,25.21,Cafes,Latte,3,No,lluvioso,grande,14,Recurrente,Tarjeta
T-42,Norte,S-13,25.897395,-100.634332,7/27/2024,13:44:00,tarde,saturday,verano,20.69,Cafes,Americano,4,No,soleado,mediana,8,Nuevo,Efectivo
T-43,Norte,S-13,25.897395,-100.634332,12/20/2024,11:37:00,maÃ±ana,friday,invierno,37.38,Cafes,Americano,3,No,lluvioso,mediana,8,Nuevo,Efectivo
T-44,Norte,S-13,25.897395,-100.634332,8/20/2024,8:14:00,maÃ±ana,tuesday,verano,31.08,Cafes,Latte,3,No,soleado,mediana,8,Nuevo,Efectivo
T-45,Sur,S-18,18.031133,-92.683976,2/21/2024,20:14:00,noche,wednesday,invierno,27.28,Cafes,Latte,5,No,lluvioso,mediana,8,Recurrente,Digital
T-46,Sur,S-18,18.031133,-92.683976,12/23/2024,21:06:00,noche,monday,invierno,27.37,Tes,Te Chai,4,No,frio,mediana,8,Recurrente,Digital
T-47,Norte,S-5,25.312026,-100.641144,2/7/2024,17:03:00,tarde,wednesday,invierno,29.93,Cafes,Americano,4,Si,frio,grande,14,Recurrente,Tarjeta
T-48,Norte,S-5,25.312026,-100.641144,11/12/2024,10:24:00,maÃ±ana,tuesday,otoÃ±o,72.9,Snacks Salados,Pretzels,5,No,lluvioso,grande,14,Recurrente,Tarjeta
T-49,Norte,S-5,25.312026,-100.641144,2/20/2024,19:40:00,noche,tuesday,invierno,21.04,Cafes,Latte,2,No,frio,grande,14,Recurrente,Tarjeta
T-50,Oeste,S-45,20.347419,-103.247643,5/29/2024,8:45:00,maÃ±ana,wednesday,primavera,23.86,Reposteria,Croissant,1,No,lluvioso,mediana,10,Recurrente,Digital
T-51,Norte,S-15,25.561765,-100.504483,5/16/2024,18:03:00,noche,thursday,primavera,82.94,Reposteria,Donut,5,No,soleado,mediana,9,Nuevo,Digital
T-52,Norte,S-15,25.561765,-100.504483,7/25/2024,21:28:00,noche,thursday,verano,44.15,Cafes,Latte,4,No,soleado,mediana,9,Nuevo,Digital
T-53,Oeste,S-44,20.332428,-103.711907,3/30/2024,17:28:00,tarde,saturday,primavera,39.67,Cafes,Americano,4,No,lluvioso,mediana,11,Nuevo,Tarjeta
T-54,Oeste,S-44,20.332428,-103.711907,7/28/2024,11:06:00,maÃ±ana,sunday,verano,57.29,Reposteria,Croissant,4,No,soleado,mediana,11,Nuevo,Tarjeta
T-55,Norte,S-6,25.472729,-100.234485,6/14/2024,9:55:00,maÃ±ana,friday,verano,27.71,Tes,Te Verde,5,No,soleado,mediana,11,Recurrente,Tarjeta
T-56,Norte,S-6,25.472729,-100.234485,11/16/2024,12:13:00,tarde,saturday,otoÃ±o,39.39,Tes,Te Chai,4,No,lluvioso,mediana,11,Recurrente,Tarjeta
T-57,Norte,S-6,25.472729,-100.234485,5/2/2024,14:35:00,tarde,thursday,primavera,28.26,Tes,Te Verde,2,No,soleado,mediana,11,Recurrente,Tarjeta
T-58,Este,S-32,19.292026,-98.918549,9/17/2024,15:53:00,tarde,tuesday,otoÃ±o,63.02,Snacks Salados,Chips,4,No,lluvioso,grande,15,Recurrente,Digital
T-59,Este,S-32,19.292026,-98.918549,7/31/2024,10:17:00,maÃ±ana,wednesday,verano,56.1,Reposteria,Croissant,3,No,soleado,grande,15,Recurrente,Digital
T-60,Este,S-31,19.58313,-99.357508,10/9/2024,15:29:00,tarde,wednesday,otoÃ±o,27.01,Reposteria,Donut,2,No,lluvioso,mediana,8,Recurrente,Tarjeta
T-61,Este,S-31,19.58313,-99.357508,8/30/2024,15:24:00,tarde,friday,verano,21.11,Snacks Salados,Palomitas,2,No,soleado,mediana,8,Recurrente,Tarjeta
T-62,Este,S-34,19.676637,-99.212268,3/14/2024,17:09:00,tarde,thursday,primavera,26.92,Tes,Te Chai,3,No,soleado,grande,14,Nuevo,Tarjeta
T-63,Este,S-34,19.676637,-99.212268,9/30/2024,8:40:00,maÃ±ana,monday,otoÃ±o,116.8,Reposteria,Muffin,6,Si,lluvioso,grande,14,Nuevo,Tarjeta
T-64,Este,S-34,19.676637,-99.212268,2/16/2024,12:48:00,tarde,friday,invierno,16.38,Tes,Te Negro,3,No,frio,grande,14,Nuevo,Tarjeta
T-65,Este,S-28,19.540583,-99.105888,9/28/2024,17:50:00,tarde,saturday,otoÃ±o,55.99,Cafes,Latte,5,No,soleado,grande,12,Nuevo,Efectivo
T-66,Este,S-28,19.540583,-99.105888,3/14/2024,11:16:00,maÃ±ana,thursday,primavera,47.1,Cafes,Latte,4,No,lluvioso,grande,12,Nuevo,Efectivo
T-67,Oeste,S-38,20.991338,-103.382519,12/19/2024,8:12:00,maÃ±ana,thursday,invierno,30.77,Reposteria,Muffin,2,No,lluvioso,mediana,11,Recurrente,Tarjeta
T-68,Sur,S-18,18.031133,-92.683976,11/6/2024,14:49:00,tarde,wednesday,otoÃ±o,22.42,Tes,Te Chai,2,No,soleado,mediana,8,Nuevo,Efectivo
T-69,Sur,S-20,18.051382,-92.783843,10/23/2024,7:05:00,maÃ±ana,wednesday,otoÃ±o,25.73,Tes,Te Chai,2,No,lluvioso,pequeña,7,Nuevo,Tarjeta
T-70,Sur,S-20,18.051382,-92.783843,5/19/2024,20:58:00,noche,sunday,primavera,51.07,Snacks Salados,Pretzels,3,No,lluvioso,pequeña,7,Nuevo,Tarjeta
T-71,Este,S-36,19.486344,-98.958869,7/21/2024,10:07:00,maÃ±ana,sunday,verano,39.67,Tes,Te Negro,3,No,soleado,grande,12,Nuevo,Tarjeta
T-72,Este,S-36,19.486344,-98.958869,4/29/2024,16:56:00,tarde,monday,primavera,16.96,Snacks Salados,Chips,1,No,lluvioso,grande,12,Nuevo,Tarjeta
T-73,Norte,S-9,25.645967,-100.493547,6/4/2024,18:06:00,noche,tuesday,verano,17.42,Cafes,Americano,2,No,soleado,mediana,10,Nuevo,Efectivo
T-74,Norte,S-9,25.645967,-100.493547,3/20/2024,18:53:00,noche,wednesday,primavera,13.26,Reposteria,Croissant,1,No,lluvioso,mediana,10,Nuevo,Efectivo
T-75,Oeste,S-44,20.332428,-103.711907,2/1/2024,7:07:00,maÃ±ana,thursday,invierno,27.53,Cafes,Latte,5,No,lluvioso,mediana,11,Recurrente,Tarjeta
T-76,Norte,S-5,25.312026,-100.641144,10/27/2024,7:21:00,maÃ±ana,sunday,otoÃ±o,24.76,Reposteria,Donut,1,No,soleado,grande,14,Nuevo,Digital
T-77,Norte,S-5,25.312026,-100.641144,3/30/2024,6:08:00,maÃ±ana,saturday,primavera,33.71,Cafes,Latte,5,No,soleado,grande,14,Nuevo,Digital
T-78,Norte,S-5,25.312026,-100.641144,8/3/2024,17:04:00,tarde,saturday,verano,47.6,Cafes,Espresso,5,No,soleado,grande,14,Nuevo,Digital
T-79,Sur,S-20,18.051382,-92.783843,2/1/2024,21:27:00,noche,thursday,invierno,8.22,Tes,Te Chai,1,No,frio,pequeña,7,Nuevo,Tarjeta
T-80,Oeste,S-40,20.708795,-103.539407,7/14/2024,20:29:00,noche,sunday,verano,6.14,Tes,Te Chai,1,No,soleado,pequeña,7,Recurrente,Digital
T-81,Oeste,S-40,20.708795,-103.539407,4/26/2024,15:25:00,tarde,friday,primavera,55.29,Reposteria,Croissant,4,No,lluvioso,pequeña,7,Recurrente,Digital
T-82,Norte,S-6,25.472729,-100.234485,8/9/2024,11:23:00,maÃ±ana,friday,verano,18.42,Snacks Salados,Palomitas,1,No,soleado,mediana,11,Nuevo,Efectivo
T-83,Sur,S-23,17.775733,-93.266699,1/27/2024,20:22:00,noche,saturday,invierno,14.48,Tes,Te Verde,2,No,frio,pequeña,5,Recurrente,Digital
T-84,Sur,S-23,17.775733,-93.266699,7/7/2024,8:36:00,maÃ±ana,sunday,verano,65.92,Cafes,Espresso,5,No,soleado,pequeña,5,Recurrente,Digital
T-85,Sur,S-23,17.775733,-93.266699,12/21/2024,7:17:00,maÃ±ana,saturday,invierno,12.15,Snacks Salados,Pretzels,1,No,lluvioso,pequeña,5,Recurrente,Digital
T-86,Norte,S-6,25.472729,-100.234485,7/11/2024,14:10:00,tarde,thursday,verano,32.03,Cafes,Americano,3,No,soleado,mediana,11,Nuevo,Digital
T-87,Oeste,S-40,20.708795,-103.539407,5/19/2024,15:31:00,tarde,sunday,primavera,46.5,Cafes,Latte,5,No,lluvioso,pequeña,7,Nuevo,Efectivo
T-88,Oeste,S-40,20.708795,-103.539407,10/30/2024,17:19:00,tarde,wednesday,otoÃ±o,16.03,Cafes,Americano,2,Si,soleado,pequeña,7,Nuevo,Efectivo
T-89,Sur,S-21,17.62616,-93.165181,9/11/2024,13:08:00,tarde,wednesday,otoÃ±o,58.4,Tes,Te Verde,5,No,lluvioso,pequeña,5,Nuevo,Efectivo
T-90,Sur,S-21,17.62616,-93.165181,1/22/2024,15:58:00,tarde,monday,invierno,82.57,Reposteria,Donut,4,No,frio,pequeña,5,Nuevo,Efectivo
T-91,Norte,S-2,25.482513,-100.60447,11/12/2024,17:58:00,tarde,tuesday,otoÃ±o,18.01,Cafes,Latte,2,No,lluvioso,grande,15,Nuevo,Tarjeta
T-92,Norte,S-2,25.482513,-100.60447,6/22/2024,7:04:00,maÃ±ana,saturday,verano,70.3,Tes,Te Verde,5,No,soleado,grande,15,Nuevo,Tarjeta
T-93,Norte,S-2,25.482513,-100.60447,11/26/2024,19:06:00,noche,tuesday,otoÃ±o,62.96,Cafes,Latte,5,No,soleado,grande,15,Nuevo,Tarjeta
T-94,Este,S-30,19.248558,-98.792887,12/14/2024,20:55:00,noche,saturday,invierno,32.11,Cafes,Latte,4,No,lluvioso,mediana,10,Recurrente,Digital
T-95,Este,S-33,19.07735,-98.875758,8/24/2024,12:23:00,tarde,saturday,verano,17.61,Reposteria,Muffin,1,No,soleado,grande,15,Recurrente,Efectivo
T-96,Este,S-33,19.07735,-98.875758,1/22/2024,16:41:00,tarde,monday,invierno,28.09,Cafes,Espresso,5,No,frio,grande,15,Recurrente,Efectivo
T-97,Este,S-33,19.07735,-98.875758,2/13/2024,13:02:00,tarde,tuesday,invierno,61.91,Reposteria,Croissant,5,No,frio,grande,15,Recurrente,Efectivo
T-98,Sur,S-22,17.82101,-93.283666,11/19/2024,12:21:00,tarde,tuesday,otoÃ±o,40.55,Tes,Te Chai,3,No,soleado,mediana,11,Nuevo,Digital
T-99,Sur,S-23,17.775733,-93.266699,3/7/2024,12:19:00,tarde,thursday,primavera,26.58,Tes,Te Chai,2,No,lluvioso,pequeña,5,Recurrente,Tarjeta
T-100,Sur,S-23,17.775733,-93.266699,8/4/2024,12:23:00,tarde,sunday,verano,29.59,Tes,Te Verde,3,No,soleado,pequeña,5,Recurrente,Tarjeta
T-101,Sur,S-19,18.084316,-92.658134,12/4/2024,10:08:00,maÃ±ana,wednesday,invierno,33.28,Cafes,Latte,5,No,lluvioso,pequeña,7,Nuevo,Efectivo
T-102,Sur,S-19,18.084316,-92.658134,7/5/2024,13:28:00,tarde,friday,verano,29.57,Tes,Te Negro,4,No,soleado,pequeña,7,Nuevo,Efectivo
T-103,Este,S-30,19.248558,-98.792887,9/14/2024,13:52:00,tarde,saturday,otoÃ±o,68.84,Reposteria,Muffin,4,Si,soleado,mediana,10,Recurrente,Tarjeta
T-104,Norte,S-8,25.84766,-100.380484,3/23/2024,10:09:00,maÃ±ana,saturday,primavera,57.22,Cafes,Latte,4,No,lluvioso,mediana,9,Nuevo,Tarjeta
T-105,Norte,S-8,25.84766,-100.380484,9/14/2024,9:05:00,maÃ±ana,saturday,otoÃ±o,11.5,Cafes,Espresso,1,No,lluvioso,mediana,9,Nuevo,Tarjeta
T-106,Este,S-31,19.58313,-99.357508,12/27/2024,16:00:00,tarde,friday,invierno,24.54,Cafes,Latte,2,No,frio,mediana,8,Nuevo,Digital
T-107,Este,S-31,19.58313,-99.357508,5/1/2024,6:15:00,maÃ±ana,wednesday,primavera,112.75,Reposteria,Donut,5,Si,lluvioso,mediana,8,Nuevo,Digital
T-108,Este,S-31,19.58313,-99.357508,1/9/2024,16:15:00,tarde,tuesday,invierno,53.53,Cafes,Latte,5,No,frio,mediana,8,Nuevo,Digital
T-109,Este,S-34,19.676637,-99.212268,9/26/2024,16:35:00,tarde,thursday,otoÃ±o,14.81,Cafes,Espresso,1,No,soleado,grande,14,Nuevo,Tarjeta
T-110,Este,S-34,19.676637,-99.212268,2/4/2024,11:42:00,maÃ±ana,sunday,invierno,45.85,Reposteria,Donut,3,No,frio,grande,14,Nuevo,Tarjeta
T-111,Oeste,S-45,20.347419,-103.247643,3/10/2024,9:02:00,maÃ±ana,sunday,primavera,8.1,Cafes,Latte,1,No,lluvioso,mediana,10,Nuevo,Tarjeta
T-112,Oeste,S-45,20.347419,-103.247643,5/9/2024,11:12:00,maÃ±ana,thursday,primavera,38.98,Cafes,Latte,3,No,lluvioso,mediana,10,Nuevo,Tarjeta
T-113,Oeste,S-45,20.347419,-103.247643,8/13/2024,21:21:00,noche,tuesday,verano,87.84,Reposteria,Croissant,4,No,soleado,mediana,10,Nuevo,Tarjeta
T-114,Norte,S-6,25.472729,-100.234485,10/6/2024,6:05:00,maÃ±ana,sunday,otoÃ±o,65.57,Reposteria,Croissant,4,No,lluvioso,mediana,11,Nuevo,Tarjeta
T-115,Norte,S-6,25.472729,-100.234485,1/22/2024,14:39:00,tarde,monday,invierno,9.06,Cafes,Latte,1,No,lluvioso,mediana,11,Nuevo,Tarjeta
T-116,Norte,S-3,25.368596,-100.123566,4/30/2024,14:23:00,tarde,tuesday,primavera,83.74,Snacks Salados,Chips,5,No,lluvioso,mediana,8,Nuevo,Efectivo
T-117,Norte,S-3,25.368596,-100.123566,2/9/2024,16:23:00,tarde,friday,invierno,10.52,Cafes,Espresso,2,No,lluvioso,mediana,8,Nuevo,Efectivo
T-118,Norte,S-3,25.368596,-100.123566,7/17/2024,18:16:00,noche,wednesday,verano,76.71,Reposteria,Donut,4,No,soleado,mediana,8,Nuevo,Efectivo
T-119,Norte,S-5,25.312026,-100.641144,8/15/2024,20:42:00,noche,thursday,verano,69.57,Cafes,Latte,5,No,soleado,grande,14,Nuevo,Tarjeta
T-120,Este,S-33,19.07735,-98.875758,4/12/2024,13:50:00,tarde,friday,primavera,65.18,Cafes,Americano,5,No,lluvioso,grande,15,Nuevo,Efectivo
T-121,Sur,S-20,18.051382,-92.783843,9/26/2024,15:52:00,tarde,thursday,otoÃ±o,11.8,Cafes,Espresso,1,No,soleado,pequeña,7,Recurrente,Tarjeta
T-122,Sur,S-20,18.051382,-92.783843,11/23/2024,13:27:00,tarde,saturday,otoÃ±o,24.86,Reposteria,Donut,2,No,soleado,pequeña,7,Recurrente,Tarjeta
T-123,Sur,S-20,18.051382,-92.783843,5/25/2024,20:12:00,noche,saturday,primavera,50.13,Cafes,Espresso,5,No,lluvioso,pequeña,7,Recurrente,Tarjeta
T-124,Norte,S-11,25.414327,-100.378008,10/15/2024,6:05:00,maÃ±ana,tuesday,otoÃ±o,64.51,Snacks Salados,Palomitas,3,No,soleado,mediana,11,Recurrente,Digital
T-125,Norte,S-11,25.414327,-100.378008,1/16/2024,17:34:00,tarde,tuesday,invierno,88.44,Reposteria,Croissant,4,No,lluvioso,mediana,11,Recurrente,Digital
T-126,Oeste,S-45,20.347419,-103.247643,8/13/2024,15:13:00,tarde,tuesday,verano,24.58,Cafes,Latte,3,No,soleado,mediana,10,Nuevo,Efectivo
T-127,Este,S-33,19.07735,-98.875758,6/12/2024,6:17:00,maÃ±ana,wednesday,verano,14.45,Tes,Te Verde,1,No,soleado,grande,15,Nuevo,Digital
T-128,Oeste,S-37,20.784051,-103.433094,4/7/2024,15:32:00,tarde,sunday,primavera,72.26,Cafes,Espresso,5,Si,lluvioso,mediana,8,Recurrente,Digital
T-129,Norte,S-4,25.722893,-100.243706,9/10/2024,17:43:00,tarde,tuesday,otoÃ±o,13.82,Cafes,Latte,1,No,lluvioso,mediana,9,Recurrente,Efectivo
T-130,Norte,S-4,25.722893,-100.243706,1/24/2024,16:35:00,tarde,wednesday,invierno,9.5,Cafes,Espresso,1,No,frio,mediana,9,Recurrente,Efectivo
T-131,Norte,S-4,25.722893,-100.243706,11/8/2024,6:25:00,maÃ±ana,friday,otoÃ±o,106.62,Reposteria,Croissant,5,No,lluvioso,mediana,9,Recurrente,Efectivo
T-132,Este,S-33,19.07735,-98.875758,1/20/2024,8:51:00,maÃ±ana,saturday,invierno,31.99,Tes,Te Verde,5,No,lluvioso,grande,15,Nuevo,Efectivo
T-133,Este,S-33,19.07735,-98.875758,11/11/2024,14:37:00,tarde,monday,otoÃ±o,53.15,Tes,Te Negro,5,No,lluvioso,grande,15,Nuevo,Efectivo
T-134,Oeste,S-44,20.332428,-103.711907,10/25/2024,11:55:00,maÃ±ana,friday,otoÃ±o,61.07,Tes,Te Chai,5,No,soleado,mediana,11,Recurrente,Efectivo
T-135,Oeste,S-44,20.332428,-103.711907,11/18/2024,15:09:00,tarde,monday,otoÃ±o,9.41,Cafes,Americano,1,No,soleado,mediana,11,Recurrente,Efectivo
T-136,Este,S-27,19.579438,-99.476078,2/1/2024,16:13:00,tarde,thursday,invierno,121.75,Snacks Salados,Pretzels,5,No,lluvioso,mediana,11,Recurrente,Digital
T-137,Este,S-27,19.579438,-99.476078,10/6/2024,11:43:00,maÃ±ana,sunday,otoÃ±o,28.95,Reposteria,Muffin,2,No,lluvioso,mediana,11,Recurrente,Digital
T-138,Este,S-27,19.579438,-99.476078,4/16/2024,15:20:00,tarde,tuesday,primavera,32.2,Cafes,Americano,3,No,lluvioso,mediana,11,Recurrente,Digital
T-139,Sur,S-19,18.084316,-92.658134,2/10/2024,9:41:00,maÃ±ana,saturday,invierno,28.13,Reposteria,Muffin,2,No,lluvioso,pequeña,7,Recurrente,Efectivo
T-140,Sur,S-16,18.173285,-92.918518,11/22/2024,6:26:00,maÃ±ana,friday,otoÃ±o,54.77,Reposteria,Muffin,3,Si,lluvioso,mediana,11,Nuevo,Efectivo
T-141,Sur,S-16,18.173285,-92.918518,8/31/2024,13:48:00,tarde,saturday,verano,70.86,Snacks Salados,Pretzels,3,No,soleado,mediana,11,Nuevo,Efectivo
T-142,Sur,S-16,18.173285,-92.918518,4/28/2024,17:54:00,tarde,sunday,primavera,50.55,Snacks Salados,Chips,4,No,soleado,mediana,11,Nuevo,Efectivo
T-143,Sur,S-19,18.084316,-92.658134,6/1/2024,12:59:00,tarde,saturday,verano,72.6,Snacks Salados,Pretzels,4,No,soleado,pequeña,7,Nuevo,Efectivo
T-144,Sur,S-19,18.084316,-92.658134,8/27/2024,6:21:00,maÃ±ana,tuesday,verano,15.42,Cafes,Espresso,3,No,soleado,pequeña,7,Nuevo,Efectivo
T-145,Sur,S-19,18.084316,-92.658134,12/11/2024,13:39:00,tarde,wednesday,invierno,80.16,Reposteria,Donut,4,Si,lluvioso,pequeña,7,Nuevo,Efectivo
T-146,Sur,S-16,18.173285,-92.918518,7/15/2024,8:21:00,maÃ±ana,monday,verano,69.22,Tes,Te Negro,6,Si,soleado,mediana,11,Recurrente,Efectivo
T-147,Sur,S-16,18.173285,-92.918518,3/1/2024,13:25:00,tarde,friday,primavera,21.63,Tes,Te Negro,3,No,lluvioso,mediana,11,Recurrente,Efectivo
T-148,Oeste,S-39,20.471604,-103.552298,12/25/2024,15:48:00,tarde,wednesday,invierno,56.14,Reposteria,Donut,5,No,frio,pequeña,6,Recurrente,Tarjeta
T-149,Oeste,S-39,20.471604,-103.552298,7/4/2024,10:07:00,maÃ±ana,thursday,verano,51.83,Cafes,Americano,5,No,soleado,pequeña,6,Recurrente,Tarjeta
T-150,Oeste,S-39,20.471604,-103.552298,8/14/2024,7:45:00,maÃ±ana,wednesday,verano,27.78,Tes,Te Verde,5,No,soleado,pequeña,6,Recurrente,Tarjeta
T-151,Oeste,S-37,20.784051,-103.433094,12/10/2024,18:25:00,noche,tuesday,invierno,21.36,Reposteria,Donut,2,No,lluvioso,mediana,8,Recurrente,Efectivo
T-152,Oeste,S-37,20.784051,-103.433094,1/31/2024,18:59:00,noche,wednesday,invierno,25.32,Cafes,Espresso,2,No,lluvioso,mediana,8,Recurrente,Efectivo
